"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"119.63","1250.99","434.28","434.65","35.55","133.59","39.90","94.98","1337","47.33","83.20","83","58.74"
"123.83","1254.93","528.59","500.68","37.88","138.09","38.61","94.98","1350","47.14","83","82","58.74"
"122.99","1291.92","458.87","447.88","35.89","135.88","39.90","94.98","1346","47.14","83","82","58.74"
"122","1272.97","486.80","472.06","36.64","140.23","39.52","94.98","1345","46.94","82.90","82","58.74"
"122.83","1286.97","465.48","463.27","36.15","138.09","39.66","94.98","1348","46.94","82.80","82","58.74"
"123.29","1280.93","471.09","465.38","36.35","138.09","39.65","94.98","1356","46.84","82.80","82","58.64"
"125.28","1291.92","475.41","474.26","36.32","140.46","39.81","94.98","1352","46.65","82.70","82","58.64"
"125.05","1290","463.00","465.38","36.06","139.09","39.88","94.98","1362","46.65","82.60","82","58.64"
"123.98","1280.93","439.38","452.29","35.55","137.87","40.42","92.00","1350","46.45","82.50","82","58.64"
"120.93","1254.93","405.96","410.48","34.60","134.74","40.49","92.46","1353","46.35","82.50","82","58.64"
"120.55","1233.96","398.67","399.45","35.42","132.52","39.50","94.98","1366","46.25","82.40","82","58.54"
"123.67","1265.92","559.59","540.17","38.49","139.54","39.04","94.98","1358","46.25","82.30","82","58.64"
"126.19","1312.98","458.87","443.51","35.92","139.93","40.10","93.47","1354","46.06","82.20","82","58.54"
"122.99","1269.95","395.30","392.87","34.53","136.03","40.34","92.34","1366","46.06","82.10","82","58.54"
"116.96","1229.94","332.39","315.88","33.17","128.56","40.15","91.66","1337","45.81","82.10","82","58.54"
"107.5","1165.94","308.27","296.09","32.63","119.17","41.18","93.88","1293","45.71","82","81","58.44"
"102.08","1109.91","306.75","307.08","32.67","111.77","41.46","94.75","1287","45.61","81.90","81","58.44"
"96.59","1081.99","306.07","304.96","32.70","107.65","41.43","94.92","1262","45.61","81.80","81","58.44"
"94.15","1066.97","341.27","348.98","33.67","104.68","41.46","94.98","1245","45.42","81.80","81","58.44"
"92.55","1060.93","348.47","346.68","33.80","101.47","40.94","94.98","1178","45.42","81.70","81","58.34"
"87.97","1051.96","349.71","344.57","33.78","95.37","40.81","94.98","1081","45.32","81.60","81","58.34"
"81.25","1039.96","349.99","342.28","33.74","88.35","40.81","94.98","1017","45.22","81.40","81","58.25"
"87.59","1028.98","311.98","296.09","32.80","94.00","41.37","94.98","1044","45.22","81.30","81","58.25"
"83.54","1017.99","307.08","307.08","32.73","98.04","41.09","94.98","1189","45.03","81.20","81","58.25"
"84.69","1032.91","338.50","353.35","33.62","92.24","41.63","94.98","1057","44.93","81","80","58.25"
"78.89","1026.96","347.88","355.46","33.68","88.96","41.17","94.98","1120","44.93","80.90","80","58.25"
"83.47","1024.95","349.57","364.38","33.70","88.65","41.63","94.98","968","44.83","80.70","80","58.25"
"68.36","1024.95","315.01","322.46","33.01","68.74","41.60","94.98","735","44.83","80.60","80","58.25"
"59.36","1011.95","315.01","322.46","33.00","64.77","42.02","94.98","717","44.73","80.40","80","58.25"
"58.14","998.95","315.01","320.4","32.86","64.47","42.11","94.98","719","44.63","80.30","80","58.25"
"64.39","989.97","401.19","368.7","36.00","97.43","37.64","90.71","1407","44.63","80.20","80","58.25"
"145.27","1143.97","677.79","687.58","40.68","181.35","38.29","94.98","1840","44.83","80.20","80","58.25"
"106.36","1282.95","312.67","274.17","32.72","108.57","41.46","93.83","985","44.83","80.20","80","58.25"
"68.06","1113.94","315.01","340.17","32.79","75.53","42.03","94.98","791","44.63","80.10","80","58.25"
"63.17","1047.93","315.01","315.88","32.83","70.95","41.81","94.98","788","44.54","80.10","80","58.25"
"108.19","1041.98","557.07","533.68","38.64","140.38","38.03","94.98","1671","44.63","80.10","80","58.25"
"128.1","1218.95","523.11","452.29","38.57","154.19","36.60","94.98","1585","44.83","80.20","80","58.25"
"143.59","1338.98","438.00","472.06","33.78","152.44","46.51","83.26","1404","45.03","80.20","80","58.25"
"119.55","1201.92","311.71","282.86","32.56","128.94","41.22","93.77","1355","44.93","80.20","80","58.25"
"104.52","1118.97","307.67","293.98","32.56","113.15","41.41","94.97","1253","44.83","80.40","80","58.25"
"92.39","1084.91","309.69","318.06","32.81","99.95","41.46","94.98","1093","45.03","80.50","80","58.25"
"81.94","1058.91","315.01","315.88","33.05","83.77","41.46","94.98","814","45.12","80.60","80","58.25"
"62.56","1032.91","315.01","326.92","33.00","67.06","41.71","94.98","714","45.12","80.70","80","58.15"
"57.45","1013.96","315.01","318.06","32.94","62.94","41.64","94.98","689","45.12","80.80","80","58.15"
"55.77","1007.92","315.01","322.46","32.89","62.87","41.80","94.98","725","45.22","80.90","80","58.15"
"56.46","1004.99","315.01","313.68","32.94","63.17","41.44","94.98","722","45.22","80.90","81","58.25"
"56.15","1002.97","315.01","318.06","32.85","62.94","41.75","94.98","719","45.22","81","81","58.15"
"55.77","1002.97","315.01","318.06","32.93","62.94","41.79","94.98","719","45.32","81","81","58.25"
"60.2","998.95","315.01","315.88","32.84","69.05","41.81","94.98","746","45.42","81.10","81","58.25"
"56.76","998.95","315.01","313.68","33.06","64.16","41.86","94.98","717","45.42","81.20","81","58.25"
"57.68","996.93","315.01","309.28","32.93","64.09","41.87","94.98","719","45.52","81.20","81","58.25"
"57.3","994.92","315.01","315.88","32.97","63.94","41.66","94.98","720","45.52","81.30","81","58.25"
"57.45","994.92","315.01","318.06","32.83","63.86","42.12","94.98","718","45.61","81.30","81","58.25"
"57.83","994.92","315.01","313.68","32.91","64.09","42.04","94.98","717","45.61","81.30","81","58.25"
"57.3","994.92","315.01","318.06","32.95","63.86","41.99","94.98","722","45.71","81.40","81","58.25"
"56.53","994.92","315.01","315.88","32.96","63.86","41.96","94.98","719","45.81","81.50","81","58.25"
"56.99","994.92","315.01","315.88","32.95","63.86","41.67","94.98","718","45.81","81.50","81","58.25"
"57.07","994.92","315.01","315.88","32.90","63.48","41.96","94.98","718","45.81","81.50","81","58.25"
"57.37","994.92","315.01","311.48","32.95","63.86","42.32","94.98","719","46.06","81.60","81","58.25"
"57.07","994.92","315.01","318.06","32.85","63.55","42.19","94.98","720","46.06","81.60","81","58.25"
"56.99","994.92","315.01","315.88","32.96","63.63","42.01","94.98","718","46.06","81.70","81","58.25"
