"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"130.08","1284.96","472.97","456.69","36.62","149.77","40.37","94.07","1486","54.25","87.90","87","56.63"
"130.77","1248.98","404.68","403.9","35.45","145.57","40.67","93.21","1498","54.05","87.90","87","56.63"
"127.57","1212.91","398.76","403.9","35.52","141.68","40.62","94.09","1502","54.05","87.90","87","56.82"
"125.43","1190.93","389.80","386.29","35.33","140.76","40.45","94.43","1516","53.95","87.90","87","56.82"
"127.87","1180.96","517.97","476.37","39.22","145.19","37.84","94.98","1603","54.05","87.90","87","56.82"
"152.36","1323.96","651.28","678.8","40.94","176.93","38.79","94.98","1640","54.25","87.90","87","56.92"
"172.66","1421.93","641.49","678.8","38.51","206.99","42.62","78.60","1716","54.35","87.90","87","56.92"
"168.15","1349.96","386.20","340.17","34.95","189.97","40.51","92.23","1717","54.25","87.90","87","56.92"
"134.66","1214.92","340.99","324.71","33.97","139.39","41.10","92.29","1317","54.05","87.90","87","57.02"
"106.13","1150.93","347.60","340.17","34.58","120.47","40.36","92.83","1349","54.05","87.90","87","57.02"
"102.69","1141.95","334.28","333.5","34.21","113.53","40.61","94.24","1300","54.05","87.90","87","56.92"
"114.44","1161.91","529.46","571.08","38.68","126.73","39.92","94.98","1352","54.05","87.90","87","57.02"
"119.33","1233.96","474.76","467.68","37.32","134.28","39.77","94.98","1391","54.25","87.90","87","57.02"
"119.86","1237.99","453.57","472.06","36.72","135.04","40.71","94.16","1389","54.25","87.90","87","57.12"
"119.33","1216.94","403.67","399.45","35.68","133.97","40.47","93.97","1411","54.05","87.90","87","57.12"
"118.03","1195.97","398.28","395.07","35.59","131.38","40.70","93.82","1407","54.05","87.90","87","57.12"
"119.78","1184.98","474.76","436.85","38.21","132.75","38.19","94.98","1460","53.95","87.90","87","57.12"
"133.9","1284.96","501.87","535.79","37.92","149.69","40.23","94.98","1468","54.05","87.90","87","57.12"
"147.33","1331.93","640.89","647.98","40.85","165.25","39.22","94.98","1520","54.05","87.90","87","57.21"
"157.24","1404.99","587.09","656.85","38.31","177.46","42.14","75.84","1518","54.05","87.90","87","57.21"
"134.43","1248.98","319.99","274.17","33.62","148.47","41.21","93.10","1505","53.76","87.90","87","57.21"
"117.19","1130.97","316.68","320.4","33.63","131.00","42.13","94.43","1422","53.66","87.90","87","57.21"
"109.56","1092.97","314.00","322.46","33.66","121.23","42.44","94.53","1374","53.51","87.90","87","57.12"
"103","1073.93","346.18","346.68","34.66","115.05","42.14","94.53","1349","53.31","87.90","87","57.12"
"98.95","1062.94","349.30","326.92","34.78","109.79","41.59","94.63","1312","53.31","87.80","87","57.02"
"95.06","1051.96","349.89","342.28","34.59","105.29","41.30","94.82","1276","53.31","87.80","87","57.02"
"91.33","1045.91","349.99","344.57","34.65","101.55","41.35","94.98","1237","53.31","87.70","87","57.02"
"89.34","1041.98","349.99","348.98","34.77","99.03","41.52","94.98","1203","53.31","87.60","87","56.92"
"88.88","1037.95","359.27","333.5","35.55","104.07","38.73","94.98","1338","53.31","87.60","87","56.92"
"109.48","1133.99","588.97","597.5","40.29","119.86","39.25","94.98","1294","53.31","87.50","87","56.92"
"120.93","1235.98","578.08","575.46","39.84","138.48","39.71","94.98","1372","53.31","87.50","87","57.02"
"118.87","1239.92","407.80","384.09","35.82","134.66","40.27","94.00","1370","53.31","87.40","87","57.12"
"128.94","1244.95","611.49","643.6","40.05","141.98","40.07","94.98","1419","53.22","87.30","87","57.12"
"127.26","1327.99","307.49","298.29","33.28","132.52","42.01","92.55","1322","53.12","87.20","87","57.12"
"105.97","1143.97","308.27","282.86","33.65","114.60","41.44","94.81","1273","52.92","87.20","87","57.12"
"92.16","1086.93","308.27","313.68","33.63","100.63","41.74","94.98","1133","52.92","87.20","87","57.12"
"82.25","1056.99","343.70","337.99","34.58","89.80","41.39","94.98","999","52.82","87.20","87","57.02"
"73.55","1032.91","348.79","355.46","34.74","83.54","42.11","94.98","1055","52.73","87.20","87","56.92"
"80.34","1017.99","349.80","335.7","34.80","87.05","41.74","94.98","993","52.73","87.20","87","56.92"
"74.39","1011.95","349.99","346.68","34.85","81.86","42.06","94.98","908","52.73","87.20","87","56.92"
"62.33","1007.92","315.01","315.88","33.99","69.28","42.01","94.98","815","52.53","87.20","87","56.92"
"57.37","1002.97","315.01","313.68","33.99","66.15","41.92","94.98","768","52.33","87.20","87","56.82"
"62.56","992.99","315.01","315.88","33.96","71.64","42.39","94.98","816","52.24","87.20","87","56.92"
"61.49","994.92","315.01","313.68","33.86","69.20","42.36","94.98","777","52.24","87.20","87","56.92"
"65.77","985.95","338.82","326.92","34.46","88.20","40.88","94.51","1206","52.24","87.20","87","56.92"
"99.03","1043.99","422.57","436.85","36.60","115.97","40.21","94.98","1399","52.33","87.20","87","56.82"
"116.04","1139.94","451.46","478.8","36.96","123.98","40.80","94.98","1325","52.53","87.20","87","56.92"
"115.05","1182.97","466.67","461.07","37.29","132.52","40.13","94.98","1450","52.73","87.20","87","56.92"
"136.8","1233.96","642.41","639.19","41.02","160.98","39.18","94.98","1593","52.82","87.10","86","56.92"
"168.46","1370.93","683.36","683.18","41.96","201.65","38.35","94.98","1807","52.92","87","86","57.02"
"204.55","1479.97","734.09","729.37","43.19","248.95","38.05","94.98","2059","53.12","86.90","86","57.02"
"241.4","1541.95","827.29","839.38","44.61","297.93","38.00","94.98","2314","53.31","86.90","86","57.12"
"265.58","1569.97","772.18","775.69","43.23","322.88","40.93","80.39","2455","53.66","87","87","57.12"
"211.49","1628.93","869.76","898.8","44.79","250.48","39.10","94.98","1806","53.95","87.10","87","57.12"
"218.05","1639.92","853.80","861.26","45.00","260.93","38.35","94.98","1915","54.25","87.20","87","57.12"
"226.6","1639.92","847.06","845.96","44.81","276.95","37.93","94.98","2032","54.44","87.30","87","57.21"
"241.09","1643.94","855.41","859.19","44.93","296.63","37.98","94.98","2142","54.64","87.40","87","57.21"
"257.5","1656.94","875.18","878.96","45.28","316.40","37.90","94.98","2275","54.84","87.70","87","57.21"
"269.86","1650.99","906.16","907.58","45.95","333.94","37.89","94.98","2386","55.23","87.80","88","57.21"
"283.89","1652.92","941.08","947.1","46.99","353.78","37.35","93.37","2554","55.42","88","88","57.21"
"279.77","1620.96","399.68","505.06","35.05","275.73","40.04","94.98","1919","55.62","88.10","88","57.31"
"217.44","1573.9","811.08","835.06","44.37","254.14","38.56","93.77","1976","55.91","88.30","88","57.21"
"215.84","1579.95","342.37","326.92","34.12","234.99","42.09","92.93","1760","55.91","88.40","88","57.21"
"144.88","1297.96","323.89","309.28","34.01","150.00","42.01","94.77","1427","55.62","88.50","88","57.12"
"117.04","1150.93","314.60","324.71","33.88","127.64","42.34","94.79","1380","55.52","88.70","88","57.02"
"103.46","1109.91","337.90","313.68","34.58","115.43","41.77","94.86","1319","55.52","88.70","88","56.92"
"96.89","1084.91","347.78","337.99","34.86","107.58","41.46","94.94","1258","55.52","88.90","89","56.82"
"89.34","1071.91","349.57","366.5","34.81","98.95","41.87","94.98","1139","55.42","88.90","89","56.82"
"82.78","1054.98","349.89","344.57","34.99","89.57","41.89","94.98","986","55.42","89","89","56.63"
"74.39","1028.98","349.99","362.07","35.03","86.98","46.39","94.98","1087","55.23","89","89","56.63"
"77.67","1020.92","311.39","300.59","33.99","91.55","41.79","94.98","1204","55.03","88.90","88","56.63"
"85.3","1024.95","308.86","311.48","33.91","94.07","42.21","94.98","1146","55.03","88.80","88","56.53"
"81.03","1028.98","313.91","315.88","34.14","87.59","41.91","94.98","965","54.84","88.80","88","56.53"
"64.39","1024.95","315.01","322.46","34.12","67.06","42.05","94.98","733","54.74","88.80","88","56.43"
"56.38","1007.92","315.01","318.06","34.19","63.94","42.05","94.98","729","54.54","88.60","88","56.53"
"58.75","994.92","360.79","337.99","35.94","81.79","38.20","92.82","1328","54.35","88.50","88","56.53"
"135.42","1118.97","600.87","612.87","40.97","164.80","38.35","94.98","1790","54.54","88.40","88","56.63"
"183.95","1361.96","722.88","720.58","42.92","224.69","38.54","94.98","1951","54.84","88.30","88","56.63"
"203.1","1537.92","785.16","786.58","43.84","238.19","38.74","94.98","1841","55.13","88.30","88","56.82"
"218.05","1590.93","800.69","801.97","44.16","263.37","38.45","94.98","2002","55.33","88.20","88","56.82"
"236.29","1618.95","832.08","826.19","44.72","289.23","37.97","94.98","2168","55.62","88.20","88","56.92"
"259.56","1624.99","878.30","889.97","45.86","326.39","37.50","94.98","2418","56.01","88.30","88","56.92"
"281.76","1637.99","654.40","692.05","40.21","346.07","39.53","54.91","2599","56.36","88.30","88","57.02"
"233.08","1671.96","883.96","889.97","45.33","262.68","39.29","94.98","1841","56.85","88.50","88","57.02"
"229.95","1716.91","900.40","911.98","44.71","276.04","44.70","46.82","1918","57.04","88.60","88","57.02"
"212.18","1539.94","341.68","289.6","34.18","234.00","41.56","93.22","1886","57.14","88.80","89","57.02"
"142.29","1299.98","319.67","309.28","33.84","141.53","41.86","94.64","1352","57.04","88.90","89","57.02"
"106.05","1152.94","309.46","300.59","33.80","117.65","41.93","94.92","1301","56.94","89.10","89","56.92"
"93.84","1101.94","329.96","320.4","34.54","102.54","41.52","94.98","1156","57.04","89.20","89","56.82"
"84.38","1071.91","346.18","366.5","34.93","92.39","42.18","94.98","1040","57.04","89.30","89","56.63"
"80.64","1041.98","313.77","340.17","34.10","88.73","41.73","94.98","1040","56.94","89.50","89","56.53"
"97.43","1037.95","321.50","309.28","34.27","109.25","40.81","94.31","1330","56.94","89.60","89","56.53"
"99.49","1071.91","357.67","353.35","35.20","114.98","40.47","93.86","1344","57.04","89.70","89","56.53"
"99.79","1107.99","315.88","307.08","34.23","109.64","40.84","93.80","1273","57.04","89.70","89","56.53"
