"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"70.65","947.95","301","298.29","33.55","81.56","42.05","23.00","1011","59.45","94","93","53.44"
"67.44","951.98","299.99","302.7","33.52","75.23","41.85","23.00","895","59.25","93.90","93","53.44"
"53.79","960.95","299.99","311.48","33.51","61.34","42.19","23.00","738","59.05","93.80","93","53.44"
"51.73","957.93","299.99","298.29","33.60","60.04","41.97","23.00","720","58.96","93.70","93","53.54"
"51.27","955.92","301.09","296.09","33.76","57.68","41.73","23.00","689","58.61","93.60","93","53.64"
"50.13","955.92","312.08","318.06","33.76","58.44","42.06","23.00","720","58.41","93.50","93","53.64"
"50.97","955.92","312.99","315.88","33.85","59.43","42.19","23.00","724","58.41","93.50","93","53.73"
"51.27","955.92","312.99","311.48","33.86","58.98","41.99","23.00","715","58.22","93.40","93","53.83"
"50.74","955.92","313.91","309.28","33.90","58.75","41.80","23.00","719","58.22","93.30","93","53.83"
"50.43","955.92","314.00","311.48","33.90","59.05","41.89","23.00","719","58.12","93.30","93","53.83"
"50.58","955.92","313.27","313.68","33.83","58.75","41.84","23.00","719","58.12","93.30","93","53.93"
"50.74","955.92","314.42","315.88","33.89","58.59","41.76","23.00","719","58.12","93.30","93","53.93"
"50.74","955.92","314.78","313.68","33.98","58.75","41.98","23.00","715","58.12","93.30","93","53.83"
"50.28","955.92","317.19","322.46","34.00","57.98","41.91","23.00","712","58.02","93.20","93","53.93"
"50.74","955.92","318.79","322.46","33.99","58.44","41.85","23.00","720","58.12","93.20","93","53.93"
"50.35","955.92","320.86","318.06","34.05","57.53","41.74","23.00","713","58.12","93.10","93","53.93"
"50.43","955.92","324.30","324.71","34.08","57.14","42.08","23.00","716","58.12","93.20","93","53.93"
"48.07","957.93","332.58","337.99","34.09","60.65","42.15","23.00","759","58.12","93.20","93","53.93"
"72.25","947.95","299.99","263.09","33.98","70.19","41.95","23.00","739","58.22","93.20","93","53.93"
"84.76","928.91","493.66","496.27","38.24","106.66","39.47","23.00","1488","58.22","93.30","93","53.93"
"95.83","955.92","402.06","425.87","35.03","98.57","41.80","23.00","1162","58.41","93.30","93","53.93"
"69.73","977.98","338.82","302.7","34.64","83.24","38.04","23.00","1290","58.61","93.30","93","53.93"
"100.25","951.98","337.58","513.91","21.84","103.53","40.23","23.00","966","58.86","93.30","93","53.93"
"50.74","989.97","316.68","307.08","34.35","56.84","41.01","23.00","749","58.96","93.30","93","53.83"
"71.64","951.98","339.89","307.08","34.87","86.98","40.15","23.00","1215","58.96","93.30","93","53.83"
"89.19","940.99","509.37","476.37","38.38","114.06","39.10","23.00","1642","58.96","93.40","93","53.93"
"118.79","947.95","546.77","557.9","39.27","139.24","38.85","23.00","1957","59.15","93.50","93","53.93"
"135.42","955.92","591.17","588.56","39.87","160.14","39.02","23.00","2180","59.15","93.60","93","54.03"
"140.54","996.93","525.08","546.77","38.02","138.93","40.50","23.00","1508","59.35","93.60","93","54.03"
"108.57","1007.92","521.68","529.18","38.28","123.45","39.46","23.00","1574","59.35","93.70","93","54.03"
"118.03","989.97","560.10","544.57","39.09","138.55","39.12","23.00","1738","59.45","93.80","93","54.03"
"122.99","985.95","333.59","351.09","33.95","142.67","41.85","23.00","1725","59.45","93.90","94","54.03"
"92.55","987.96","308.86","313.68","33.35","94.53","41.41","23.00","1113","59.45","94","94","53.93"
"73.55","977.98","300.91","302.7","33.34","84.76","41.93","23.00","1081","59.35","94.20","94","53.93"
"72.56","964.98","299.99","291.71","33.53","78.43","41.79","23.00","909","59.35","94.30","94","53.83"
"58.37","968.92","299.99","318.06","33.52","62.79","42.11","23.00","736","59.35","94.40","94","53.83"
"52.8","964.98","299.99","302.7","33.58","62.03","42.42","23.00","700","59.15","94.50","94","53.83"
"53.86","960.95","299.99","300.59","33.62","61.04","42.35","23.00","722","59.15","94.60","94","53.83"
"52.03","955.92","299.99","300.59","33.57","60.27","42.10","23.00","719","58.96","94.70","94","53.83"
"47.84","960.95","307.26","302.7","33.78","56.69","41.88","23.00","709","58.96","94.80","94","53.83"
"51.19","955.92","311.30","315.88","33.82","59.05","41.88","23.00","717","58.86","94.90","94","53.83"
"61.19","942.91","448.76","412.68","37.87","90.79","39.44","23.00","1422","58.86","94.90","94","53.93"
"87.36","964.98","299.99","333.5","33.86","76.52","42.73","23.00","777","58.96","94.90","94","53.93"
"52.57","972.94","306.75","304.96","33.63","60.88","42.04","23.00","725","58.96","94.80","94","53.93"
"51.73","964.98","312.40","315.88","33.78","59.59","41.87","23.00","722","58.96","94.80","94","53.93"
"51.04","960.95","321.18","318.06","34.32","59.43","41.02","23.00","737","58.96","94.70","94","53.93"
"83.24","930.92","466.90","478.8","37.54","102.85","39.98","23.00","1465","58.96","94.70","94","53.93"
"105.06","942.91","525.91","527.1","38.55","121.69","39.65","23.00","1625","59.05","94.60","94","53.93"
"110.09","964.98","534.18","527.1","38.61","126.04","39.63","23.00","1630","59.15","94.60","94","53.93"
"104.75","985.95","383.49","399.45","34.69","108.64","41.61","23.00","1316","59.25","94.70","94","54.03"
"89.34","977.98","377.76","335.7","35.55","99.79","39.22","23.00","1386","59.35","94.70","94","54.03"
"95.67","977.98","514.28","522.69","38.24","110.09","39.73","23.00","1444","59.35","94.70","94","54.03"
"103.53","977.98","530.79","531.48","38.72","121.16","39.62","23.00","1584","59.35","94.80","94","54.03"
"113.37","977.98","484.37","494.07","36.96","131.38","40.91","23.00","1704","59.45","94.90","95","54.03"
"119.63","960.95","402.98","401.7","35.38","141.37","41.23","23.00","1699","59.64","95","95","54.03"
"82.86","989.97","329.60","320.4","34.09","92.55","39.74","23.00","1237","59.35","95.20","95","54.03"
"87.28","985.95","482.35","509.37","37.73","97.05","39.96","23.00","1263","59.35","95.30","95","54.03"
"91.94","985.95","351.56","421.49","33.79","97.73","42.99","23.00","1254","59.35","95.40","95","54.03"
"81.79","972.94","304.07","278.57","33.35","91.33","41.74","23.00","1215","59.35","95.50","95","54.03"
"80.87","957.93","303.98","300.59","33.50","89.80","41.29","23.00","1199","59.25","95.60","95","54.03"
"82.78","947.95","340.08","355.46","34.42","92.85","40.35","23.00","1250","59.15","95.70","95","53.93"
"89.57","957.93","489.97","518.29","37.89","97.73","40.21","23.00","1307","59.15","95.70","95","53.83"
"92.47","972.94","505.97","505.06","38.21","105.90","39.63","23.00","1375","59.15","95.80","95","53.93"
"97.58","977.98","514.00","522.69","38.26","112.15","39.91","23.00","1445","59.15","95.70","95","53.93"
"100.33","983.93","312.67","296.09","33.27","108.34","42.49","23.00","1403","59.05","95.70","95","54.03"
"91.86","964.98","309.87","300.59","33.53","99.87","42.15","23.00","1278","58.96","95.70","95","54.03"
"79.88","966.99","302.01","309.28","33.58","85.15","42.19","23.00","1056","58.96","95.70","95","53.93"
"81.94","942.91","308.68","304.96","33.76","97.35","41.81","23.00","1359","58.61","95.80","95","53.83"
"81.48","947.95","304.58","309.28","33.70","90.26","41.55","23.00","1169","58.61","95.80","95","53.83"
"72.94","957.93","299.99","296.09","33.61","79.35","41.77","23.00","924","58.61","95.90","95","53.83"
"53.18","968.92","299.99","318.06","33.71","62.33","42.15","23.00","751","58.51","95.80","95","53.73"
"53.33","962.96","299.99","302.7","33.66","60.43","42.19","23.00","704","58.41","95.80","95","53.83"
"48.75","960.95","311.20","309.28","33.82","59.13","41.66","23.00","718","58.41","95.70","95","53.83"
"51.19","960.95","312.17","318.06","33.86","59.59","41.90","23.00","725","58.41","95.70","95","53.93"
"50.35","957.93","312.17","315.88","33.84","59.36","42.13","23.00","719","58.32","95.70","95","53.93"
"50.89","955.92","312.67","311.48","33.91","58.44","42","23.00","720","58.22","95.70","95","54.03"
"50.28","955.92","312.49","313.68","33.83","59.13","41.90","23.00","719","58.22","95.70","95","54.03"
"50.35","955.92","312.31","315.88","33.84","58.98","42.02","23.00","719","58.22","95.70","95","54.03"
"51.04","955.92","312.81","313.68","33.97","59.13","42.04","23.00","721","58.22","95.70","95","54.03"
"50.74","955.92","312.99","309.28","33.85","58.98","42.12","23.00","718","58.22","95.70","95","54.13"
"50.58","955.92","312.58","313.68","33.75","58.75","42.04","23.00","720","58.22","95.70","95","54.13"
"51.27","955.92","312.81","311.48","33.96","58.90","41.84","23.00","719","58.22","95.70","95","54.03"
"50.74","955.92","312.58","313.68","33.88","59.28","41.87","23.00","719","58.22","95.70","95","54.13"
"50.28","955.92","313.09","313.68","33.85","58.98","41.98","23.00","722","58.22","95.80","95","54.13"
